id_title,context
0101,我々人間は，日々五感を通して得られる情報から，対象を分類する能力や，事象の背後にある規則性を獲得してゆきます．これらと同じ能力，あるいは人間を超える能力をコンピュータに与えることを目指したものが，機械学習です．本章では，近年機械学習が注目されている背景を紹介し，機械学習とは何かを明確にした後，本書で扱う機械学習の概要について説明します．
0102,"近年，日常生活やビジネスにおけるさまざまな場面で
人工知能 (aritificial intelligence)
を活用した製品やサービスの開発が注目されています．人工知能は，人と対話を行うアプリやロボット・自動運転・病気の診断の補助・高度な生産システムなどの中心的技術として位置づけられています．人工知能はさまざまな立場から異なった定義がされていますが，本書では人工知能を「現在，人が行っている知的な判断を代わりに行う技術」と定義します．

このように定義すると，探索・知識表現・推論などの技術とともに，データから規則性を導く
機械学習 (machine learning)
も「人が行っている知的な判断を代わりに行う」技術を実現するための，ひとつの方法ということになります（図1.1）．

この定義のもとでは，「人工知能=機械学習」ではありません．知的に振る舞うシステムを作る方法は，機械学習だけとは限りません．開発者が，その振る舞いの規則をプログラムとして作成することによっても，それなりに知的に振る舞うシステムは作製できます．日常生活で我々が便利だと感じている技術の大半は，人間が作成したプログラムで動いています．また，機械可読な web 情報源の構築を目指した LOD (linked open data) の取り組みや，システムが結論を出した過程をわかりやすく人に説明するための推論・プランニングの技術は，直接的には機械学習とは関係がなくとも，知的なシステムを作成するために重要な人工知能の要素技術です．"
0103,"機械学習の出番は，簡単には規則化できない複雑なデータが大量にあり，そこから得られる知見が有用であることが期待されるときです．このような大量のデータは，
ビッグデータ (big data)
とよばれます．
ビッグデータの例としては，人々がブログやSNS (social networking service) に投稿する文章・画像・動画，スマートフォンなどに搭載されているセンサから収集される情報，オンラインショップやコンビニエンスストアの販売記録・IC乗車券の乗降記録など，多種多様なものです．この大量・多様なデータから規則性を抽出したり，データを分類するモデルを獲得することで，購買記録からのお勧め商品提示のようなおなじみの機能に加えて，不審者の行動パターンの検出や，インフルエンザの流行の予想など，これまでになかったサービスや機能を実現することもできます（図1.2）．"
0104,"データから規則や知見を得る機械学習技術のなかでも，特に
深層学習 (deep learning)
は，高い性能を実現する方法として近年注目を集めています．
深層学習は，一般に隠れ層を多くもつニューラルネットワーク（図1.3）によって実装されています．

深層学習が他の機械学習手法と異なるのは，深い階層構造をとることによって，従来は人手でプログラムされていた特徴抽出段階の処理を，学習の対象として取り込んでいるところでです．近年の深層学習の流行を見ると，他の機械学習技術はもう不要に見えるかもしれません．しかし，深層学習がその強さを発揮しているのは，音声・画像・自然言語など空間的・時間的に局所性を持つ入力が対象で，かつ学習データが大量にある問題であるという傾向があります．さまざまな問題に対して機械学習アルゴリズムの性能を競うサイトでは，深層学習と並んで勾配ブースティングなどの手法が上位を占めることがあります．また一方で，性能は多少低くてもよいので判定結果に至るプロセスがわかりやすい手法や，運用後のチューニングが容易な手法が好まれる場合もあり，さまざまな状況でさまざまな問題に取り組むためには，深層学習だけではなく機械学習手法全般に関して理解しておくことが必要であるといえます．本書では機械学習全般に関して，設定した問題に対する基本的な手法の概要と，フリーソフトを用いた例題の解法について説明します．"
0105,"ここでは，もう少し詳細に機械学習の中身をみてゆきましょう．機械学習で扱うのは，人手では規則を記述することが難しい問題です．すなわち，解法が明確にはわかっていない問題であると言い換えることができます．ここでは，機械学習で対象とする問題を
タスク (task)
とよびます．

たとえば，人間は文字や音声の認識能力を学習によって身につけますが，どうやって認識をおこなっているかを説明することはできません．人間の認識能力を何らかの手法で
モデル (model)
化して，コンピュータでその能力を再現しようとする技術が，機械学習の一種である
パターン認識 (pattern recognition) 
です．

ここでのアイディアは，明示的にその手順は記述できないけれども，データ（この場合は入力とその答え）は大量に用意することができるので，そのデータを使って人間の知的活動（場合によってはそれを超えるもの）のモデルを作成しようというものです．これ以降，機械学習のために用いるデータを
学習データ (training data)
とよびます．

ここまでをまとめると，機械学習の基本的な定義は，

アルゴリズムとして明示的に解法が与えられないタスクに対して，そのタスクを遂行するためのモデルを，学習データから構築すること

となります．

また，学習データも一見多様に見えますが，金額やセンサーからの入力のような「
数値データ
」，あるいは商品名や性別のような「
カテゴリカルデータ
」が並んだものであるとすると，数値データの並びからなるデータ，カテゴリカルデータの並びからなるデータ，それらが混合したデータというように整理して考えることができます（図1.4）．
観測対象から問題設定に適した情報を選んでデータ化する処理は，
特徴抽出
とよばれます．

機械学習の役割をこのように位置付けると，図1.4中の「機械学習」としてまとめられた中身は，タスクの多様性によらず，目的とする規則・関数などのモデルを得るために，どのような学習データに対して，どのようなアルゴリズムを適用すればよいか，ということを決める学習問題と，その学習の結果得られたモデルを，新たに得られる入力に対して適用する実運用段階に分割して考えることができます
（図1.5）．

本書の対象は，主として図1.5の学習問題と定義された部分ですが，いかに実運用の際によい性能を出すか，すなわち，学習段階ではみたことのない入力に対して，いかによい結果を出力するかということを常に考えることになります．この能力は，「学習データからいかに一般化されたモデルが獲得されているか」ということになるので
汎化 (generalization) 
能力といいます．"
0106,
0107,
0108,
0109,"ここでは，前節で説明した学習データと出力を基準に機械学習の分類を試みます．
機械学習にはさまざまなアルゴリズムがあり，その分類に関してもさまざまな視点があります．
機械学習の入門的な文献では，モデルの種類に基づく分類が行われていることが多いのですが，そもそもそのモデルがどのようなものかというイメージをもっていない初学者には，なかなか納得しにくい分類にみえてしまいます．そこで本書では，入力である学習データの種類と出力の種類の組合せで機械学習のタスクの分類をおこない，それぞれに分類されたタスクを解決する手法としてモデルを紹介します．

まず，学習データにおいて，正解（各データに対してこういう結果を出力して欲しいという情報）が付いているか，いないかで大きく分類します（図1.6）．学習データに正解が付いている場合の学習を
教師あり学習  (supervised learning) 
，正解が付いていない場合の学習を
教師なし学習  (unsupervised learning)
とよびます．また，少し曖昧な定義ですが，それらのいずれにも当てはまらない手法を
中間的学習 
とよぶことにします．

教師あり／なしの学習については，それぞれの出力の内容に基づいてさらに分類をおこないます．教師あり学習では，入力の分類結果をカテゴリとして出力するものを識別とし，入力から予測される数値を出力するものを回帰とします．
一方，教師なし学習では観点を変えて，入力となるデータ集合全体を説明する情報を出力するものをモデル推定とし，
入力となるデータ集合の一部から得られる特徴的な情報を出力するものをパターンマイニングとします．

中間的学習に関しては，何が「中間」であるのかに着目します．学習データが中間である場合（すなわち，正解付きの学習
データと正解なしの学習データが混在している場合）である半教師あり学習という設定と，正解が間接的・確率的に与えられるという意味で，教師あり／なしの中間的な強化学習という設定を取り上げます．

以下では，それぞれの分類について，その問題設定を説明します．"
0110,"教師あり学習では，正解の付いた学習データを用います．このデータを訓練例とよぶこともあります．学習データは，入力データに対応するベクトル$\bm{x}_i$と，正解情報$y_i$のペアからなります．

ここで，$N$は学習データの総数，添字$i$は学習データ中の$i$番目の事例であることを示します．

当面，入力ベクトル$\bm{x}_i$は次元数$d$の固定長ベクトルであると考えておきます．

図1.4の上部に示したような， (134.1, 34.6, 12.9) や， (女, 68, 165, 44, no) などが入力ベクトル$\bm{x}_i$の例です．

入力ベクトルの各要素 $x_{i1},\dots,x_{id}$ を，
特徴 (feature)
 あるいは
 属性 (attribute) 
 とよびます．
特徴は，数値データあるいはカテゴリカルデータのいずれかです．数値データは長さや温度などの連続値をとる場合もあれば，商品の購入個数や単語の出現回数などの離散値をとることもあります．また，カテゴリカルデータは一般に文字列として表記され，たとえば性別を表す「男・女」や天候を表す「晴・曇・雨」などのカテゴリを値とします．

教師あり学習は，この学習データから，入力$\bm{x}$を正解$y$に写像する関数$c$を学習することを目的とします．

ここで$\bm{x}$は，学習データ中の$\bm{x}_i$に限らず，今後この関数に入力され得るすべてのデータを表しているので，関数$c(\bm{x})$はあらゆる入力に対して正しい出力を与える理想的な写像ということになります．機械学習では，そのような理想的な写像を求める問題に対して，関数の形を扱いやすいものに仮定して，その関数のパラメータを学習データから推定するという問題に置き換えます．この推定する関数を
$\hat{c}(\bm{x})$と記述します．関数$\hat{c}(\bm{x})$の実際の形は，入力ベクトル$\bm{x}$と正解$y$の種類によって異なります．

また，正解情報（あるいは関数$\hat{c}(\bm{x})$の出力）$y$も，数値あるいはカテゴリのいずれかになります．正解$y$が数値の場合を回帰 (regression) 問題，カテゴリの場合を識別 (classification) 問題とよびます．回帰問題の正解をターゲット (target) ，識別問題の正解をクラス (class) とよぶこととします．

具体的な教師あり学習問題の説明に入る前に，性能測定基準について少し説明します．学習結果である関数$\hat{c}(\bm{x})$は，学習データに含まれていない未知のデータ$\bm{x}$に対してなるべく正しい答えを出力するように一般化されなければなりません．学習データに対する正解率ではなく，未知のデータに対する正解率が重要なのです．学習データに対しては，その正解をすべて表形式で記録しておけば，間違いなく正解を出力することができます．しかし，未知データに対して正解を出力するには，「学習データの背後にある法則のようなもの」を獲得する必要があるのです．機械学習は，人間が解き方のわからない問題に対して適用するものであることを，前節で説明しました．「学習データの背後にある法則のようなもの」をいかにして獲得するか，ということが教師あり学習のテーマになります．"
